"Original","Masked","Field","RowIndex"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","103"
"City of London Police","fLrvQqOIz9do","Reported by","104"
"City of London Police","fLrvQqOIz9do","Falls within","104"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","104"
"City of London Police","fLrvQqOIz9do","Reported by","105"
"City of London Police","fLrvQqOIz9do","Falls within","105"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","105"
"City of London Police","fLrvQqOIz9do","Reported by","106"
"City of London Police","fLrvQqOIz9do","Falls within","106"
"On or near Bishopsgate","CH41hlAxajZp","Location","106"
"City of London Police","fLrvQqOIz9do","Reported by","107"
"City of London Police","fLrvQqOIz9do","Falls within","107"
"On or near Bishopsgate","CH41hlAxajZp","Location","107"
"City of London Police","fLrvQqOIz9do","Reported by","108"
"City of London Police","fLrvQqOIz9do","Falls within","108"
"On or near Watling Street","1z7+/Jkq1rk1","Location","108"
"City of London Police","fLrvQqOIz9do","Reported by","109"
"City of London Police","fLrvQqOIz9do","Falls within","109"
"No location","ToR5xtQyHv2n","Location","109"
"City of London Police","fLrvQqOIz9do","Reported by","110"
"City of London Police","fLrvQqOIz9do","Falls within","110"
"On or near Circus Place","MoKITRuLqSzo","Location","110"
"City of London Police","fLrvQqOIz9do","Reported by","111"
"City of London Police","fLrvQqOIz9do","Falls within","111"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","111"
"City of London Police","fLrvQqOIz9do","Reported by","112"
"City of London Police","fLrvQqOIz9do","Falls within","112"
"On or near London Liverpool Street","wSjScPkT76e5","Location","112"
"City of London Police","fLrvQqOIz9do","Reported by","113"
"City of London Police","fLrvQqOIz9do","Falls within","113"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","113"
"City of London Police","fLrvQqOIz9do","Reported by","114"
"City of London Police","fLrvQqOIz9do","Falls within","114"
"On or near Liverpool Street","MlZHXg61uPKd","Location","114"
"City of London Police","fLrvQqOIz9do","Reported by","115"
"City of London Police","fLrvQqOIz9do","Falls within","115"
"No location","ToR5xtQyHv2n","Location","115"
"City of London Police","fLrvQqOIz9do","Reported by","116"
"City of London Police","fLrvQqOIz9do","Falls within","116"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","116"
"City of London Police","fLrvQqOIz9do","Reported by","117"
"City of London Police","fLrvQqOIz9do","Falls within","117"
"On or near Ludgate Hill","CTwr6MzrHiTB","Location","117"
"City of London Police","fLrvQqOIz9do","Reported by","118"
"City of London Police","fLrvQqOIz9do","Falls within","118"
"On or near Hospital","d5pekZN+0uOy","Location","118"
"City of London Police","fLrvQqOIz9do","Reported by","119"
"City of London Police","fLrvQqOIz9do","Falls within","119"
"On or near Watling Street","1z7+/Jkq1rk1","Location","119"
"City of London Police","fLrvQqOIz9do","Reported by","120"
"City of London Police","fLrvQqOIz9do","Falls within","120"
"On or near Corbet Court","2eP832Hq9waE","Location","120"
